startDate,Start Date,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48
endDate,End Date,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48
status,Response Type,2,2,2,2,2
ipAddress,IP Address,,,,,
progress,Progress,100,100,100,100,100
duration,Duration (in seconds),1,0,1,0,1
finished,Finished,1,1,1,1,1
recordedDate,Recorded Date,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48,03/11/2016 07:48
_recordId,Response ID,R_3Kvb9sXItcA5Ssd,R_dmtIHdZLutsuUXH,R_1TgZodDvgJtdsjP,R_3gbqShFtXJrIjGt,R_6KUUVJguZwhg0bb
recipientLastName,Recipient Last Name,,,,,
recipientFirstName,Recipient First Name,,,,,
recipientEmail,Recipient Email,,,,,
externalDataReference,External Reference,,,,,
locationLatitude,LocationLatitude - Location Latitude,32.06669617,32.06669617,32.06669617,32.06669617,32.06669617
locationLongitude,LocationLongitude - Location Longitude,34.76669312,34.76669312,34.76669312,34.76669312,34.76669312
distributionChannel,DistributionChannel - Distribution Channel,test,test,test,test,test
QID23_7,Q2.1_7 - If she lives in San Francisco. What is the probability that Emma works as a...,20,50,71,45,68
QID23_8,Q2.1_8 - If she doesn't live in San Francisco. What is the probability that Emma wor...,47,7,92,74,75
QID23_9,Q2.1_9 - If you don't know where she lives. What is the probability that Emma works...,13,56,21,23,78
QID28_FIRST_CLICK,Q2.2_First Click - First Click,7.24,8.31,6.27,1.74,4.29
QID28_LAST_CLICK,Q2.2_Last Click - Last Click,9.16,9.77,9.87,1.91,6.04
QID28_PAGE_SUBMIT,Q2.2_Page Submit - Page Submit,8.12,9.35,6.32,4.39,8.8
QID28_CLICK_COUNT,Q2.2_Click Count - Click Count,43,34,2,3,0
QID24_11,Q3.1_11 - Emma is a manger,53,28,66,63,76
QID24_12,Q3.1_12 - Emma is a pianist and a runner,18,87,95,59,89
QID24_13,Q3.1_13 - Emma is a writer,48,4,77,76,99
QID24_14,Q3.1_14 - Emma likes to paint,57,63,21,55,50
QID24_15,Q3.1_15 - Emma is vegan,98,10,74,69,5
QID24_16,Q3.1_16 - Emma likes to exercise,41,4,36,62,5
QID24_17,Q3.1_17 - Emma is a manger and likes to exercise,91,36,40,87,34
QID24_18,Q3.1_18 - Emma is a blogger,23,9,5,83,18
QID30_FIRST_CLICK,Q3.2_First Click - First Click,2.64,9.71,1.78,5.6,5.89
